lat,lng,resolved
54.503433,-6.05466,0
52.3059,-0.688674,1
52.207874,-2.194572,1
52.569492,-1.980585,1
54.57387,-1.235712,1
53.32574,-2.707783,1
52.415195,0.52935,1
51.53151,0.004872,1
51.413918,-0.071535,1
51.88994,0.261741,1
53.513283,-2.391073,1
51.660583,-0.407378,1
52.58433,-2.124597,1
50.795387,-1.155133,1
55.124428,-1.507215,1
52.258224,-0.806427,1
54.918774,-1.517203,0
53.738876,-1.507124,1
50.43577,-3.571458,1
51.51738,-0.403053,1
51.49977,-0.082119,1
51.53913,-0.12201,1
51.567844,0.700224,0
53.54568,-1.16679,1
54.593422,-5.936677,0
50.531418,-3.582762,1
53.383057,-2.246259,1
53.367764,-1.472011,0
52.057816,1.152112,1
51.88994,0.261741,1
54.978817,-1.383537,1
52.395996,-1.996781,1
52.746456,0.403613,1
53.699646,-1.390969,1
51.765865,-0.009094,1
50.374992,-4.151055,1
51.74832,-0.461703,0
51.902935,-0.202379,0
54.97738,-1.576854,1
53.369286,-1.441258,1
51.88994,0.261741,1
52.481472,-1.473609,1
51.777805,-0.442581,1
50.914124,-1.44236,1
53.406124,-2.145431,1
52.63302,-1.113674,1
50.874172,-2.79451,1
51.50097,-0.124933,1
52.628613,-1.118388,1
53.449314,-1.30153,0
52.477646,-1.817358,1
51.749924,-3.370545,1
53.793633,-1.85736,1
53.4735,-1.34499,0
52.958378,-1.143405,0
52.41426,-1.455561,1
52.17589,0.141982,1
53.041084,-2.985735,1
51.564323,-1.783295,1
51.73995,-0.261185,1
53.77911,-1.535562,1
51.527027,-0.263225,1
52.47723,-1.907819,1
51.770767,0.094481,1
51.55894,-1.751384,1
52.9803,-1.198348,1
53.041096,-2.972341,1
53.24582,-0.456477,1
51.77732,-0.455078,0
51.759304,-0.465474,1
53.36702,-2.279064,1
51.514435,-0.028047,1
52.059383,-2.73254,0
51.757328,-0.471206,1
51.06817,-1.297707,1
51.598644,-0.319102,1
50.8208,-0.144034,1
52.4804,1.754753,1
53.394833,-1.256585,1
50.9686,-2.186822,1
51.420795,-0.20505,1
53.488785,-2.957504,1
54.946846,-3.002875,0
53.40104,-2.170275,1
50.36974,-4.172966,1
51.43189,-0.522489,1
53.584984,-2.435737,1
52.42555,-0.727953,1
54.66142,-1.188199,1
52.480213,-1.885741,1
51.608456,-0.024495,1
51.280556,1.076174,1
51.33655,-1.998831,1
52.640915,-2.284332,0
51.157146,-0.162188,1
50.738594,-1.872038,1
54.94347,-1.715144,0
53.538937,-1.45039,1
51.54187,-0.002028,1
52.5315,-2.048735,1
52.964943,-1.171787,0
51.88994,0.261741,1
50.910545,-1.199548,1
51.503456,-0.221673,0
51.86691,0.178835,1
53.49108,-2.971408,1
51.34428,-0.195965,1
51.544666,-0.046758,1
53.631126,-1.817003,0
51.48114,-3.17929,1
51.42414,-0.119694,1
51.88994,0.261741,1
53.48661,-2.194113,1
54.906162,-1.572455,1
51.531322,-0.208607,1
51.764347,0.001578,0
51.713886,-0.448918,1
51.82005,0.150411,1
52.978558,-0.015923,1
50.914124,-1.44236,1
55.018364,-1.485714,0
53.4671,-2.194129,1
51.531673,-0.052404,1
54.58715,-5.835458,0
51.784195,-1.486935,0
52.609215,1.735752,0
51.515686,-0.141062,0
51.145153,0.877721,0
51.8059,0.639435,0
51.3905,-0.026811,0
51.5325,-0.12601,0
51.5285,-0.133415,0
51.5174,-0.120207,0
50.832,-0.782472,0
53.9173,-2.01201,0
51.3849,-0.070351,0
51.3757,-0.092507,0
55.860706,-4.256292,0
55.860706,-4.256292,0
55.952496,-3.188535,0
55.952496,-3.188535,0
50.7695,0.281612,0
50.818954,-0.375985,0
51.5101,-0.134052,0
51.5101,-0.134052,0
51.518715,-0.176382,0
51.5078,-0.017611,0
51.641567,-0.465622,0
50.7695,0.281612,0
51.808,-0.028764,0
51.3425,0.735793,0
51.3425,0.735793,0
51.6727,-0.047236,0
51.4413,0.366631,0
53.5067,-2.93163,0
50.797,-1.10787,0
51.1765,-0.007204,0
51.485977,-0.123129,0
52.9473,-1.14541,0
51.528,0.005042,0
51.544853,-0.002183,0
51.544853,-0.002183,0
51.3867,0.550495,0
51.3867,0.550495,0
53.488564,-2.241717,0
51.485977,-0.123129,0
53.488564,-2.241717,0
53.477512,-2.226586,0
51.50335,-0.111911,0
51.5042,-0.109192,0
51.689648,-0.409555,0
50.369507,-4.151158,1
53.648495,-2.625767,1
51.571808,0.134864,1
53.452457,-2.027096,1
53.456406,-2.758644,1
51.87468,-2.245218,1
51.548164,-0.028147,1
54.76112,-6.600104,0
51.47834,-0.101812,1
53.48778,-2.096957,1
53.831936,-1.778616,1
52.957886,-1.325429,0
52.715897,-1.225067,1
51.517647,-0.184655,0
51.702232,-0.53655,1
52.18354,-2.220208,1
53.618237,-2.156607,1
52.14644,-1.883731,0
51.097404,-0.206105,1
50.798195,-0.672884,1
53.046124,-2.996083,1
51.91847,-0.175191,1
53.505543,-2.215021,1
50.907543,-0.273196,1
54.103443,-3.23002,1
52.52965,-1.939313,1
54.96337,-1.601834,1
52.47723,-2.092374,1
52.50653,-1.921754,1
52.384,-1.882933,0
52.592896,-2.12068,1
50.816593,-0.55847,1
51.268887,-0.833078,1
52.512554,1.015519,1
51.44093,-2.553831,0
51.56492,-0.275835,1
50.855087,0.57798,1
50.61421,-2.454381,1
51.629745,-0.389386,1
51.736824,-0.44764,1
51.796314,-0.202881,0
52.119297,-2.319979,0
50.828857,-0.115996,0
51.472416,-0.015057,1
51.521297,-0.046562,1
53.775814,-1.543261,1
52.297523,-1.520428,0
51.610474,-0.278298,1
51.39569,-0.453795,1
53.370552,-1.376975,0
54.957966,-1.468308,1
52.445435,-1.941253,1
53.436707,-1.349515,0
51.888214,0.262613,1
54.995884,-1.754319,1
52.962963,-2.042403,1
51.49924,-0.060573,1
52.654846,-1.068218,0
53.510914,-2.595163,1
54.82571,-6.261981,0
51.38513,-0.105643,1
51.421593,-0.023804,1
51.649345,-0.527471,1
51.48485,-0.092972,1
51.418617,-0.143723,1
50.999866,-0.75289,1
53.164738,-1.228975,1
51.46866,-0.230917,1
51.590656,-0.124765,1
51.58911,0.140035,0
53.510456,-2.159857,1
51.412754,0.009983,1
51.648434,-0.386917,0
50.816402,-0.372227,1
52.48988,-1.93598,1
51.88994,0.261741,1
51.88994,0.261741,1
53.029125,-2.183775,1
51.76972,-0.334813,1
51.560036,0.076228,1
53.362507,-2.273249,1
51.529377,0.016975,1
54.51323,-6.045871,0
51.69776,-3.022682,0
53.576664,-0.646133,0
50.834896,-0.140904,1
51.761578,-0.013775,1
50.65003,-1.161561,1
51.50282,-0.119267,1
51.52048,-0.172233,1
51.52603,-0.439438,1
50.658745,-1.151913,1
50.438137,-3.578057,0
50.80915,-0.535763,1
51.59653,-0.108583,1
52.384495,-2.250122,0
53.028934,-2.185474,1
53.52964,-2.108548,1
53.713585,-2.64687,1
51.489956,-3.178811,1
52.79591,-2.133462,1
