count;area;electorate;valid_votes;remain;leave;pct_crimes;pct_voted;pct_remain;pct_leave
73354;Preston;94284;64745;30227;34518;0,7780111153536124;0,6867018794281108;0,46686230596957295;0,5331376940304271
47153;Nuneaton and Bedworth;93978;69831;23736;46095;0,5017450892762135;0,7430568856540892;0,339906345319414;0,660093654680586
29686;Tonbridge and Malling;93019;74021;32792;41229;0,3191391006138531;0,7957621561186424;0,4430094162467408;0,5569905837532592
35602;Newcastle-under-Lyme;92816;68934;25477;43457;0,38357610756766075;0,7426952249612135;0,36958540052804134;0,6304145994719587
22314;Stroud;92631;74064;40446;33618;0,24089127829776208;0,7995595427016874;0,5460952689565781;0,4539047310434219
21523;Waverley;92291;75942;44341;31601;0,23320800511425815;0,8228537993953907;0,5838798030075584;0,4161201969924416
29587;Pembrokeshire;92155;68522;29367;39155;0,3210569149801964;0,7435516249796539;0,42857768307988675;0,5714223169201132
38964;Ashfield;91916;66899;20179;46720;0,42390878628312806;0,727827581705035;0,3016338061854437;0,6983661938145562
24079;Chichester;91659;71337;35011;36326;0,26270197143761115;0,7782869112689424;0,49078318404194177;0,5092168159580582
56432;Ipswich;91574;66353;27698;38655;0,6162447856378448;0,7245833970340927;0,4174340270974937;0,5825659729025063
31540;Conwy;91368;65504;30147;35357;0,34519744330619034;0,7169249627878469;0,46023143624816804;0,5397685637518319
21155;East Hampshire;90588;73922;37346;36576;0,23352982735020092;0,816024197465448;0,5052081924190363;0,4947918075809637
34380;Ashford;90516;69786;28314;41472;0,3798223518493968;0,770979716293252;0,4057260768635543;0,5942739231364457
31929;Waveney;90391;65646;24356;41290;0,3532320695644478;0,7262448695113451;0,3710203211162904;0,6289796788837096
23893;Fareham;90175;71735;32210;39525;0,2649625727751594;0,7955087330191295;0,4490137310936084;0,5509862689063916
31840;Sedgemoor;89714;68414;26545;41869;0,35490558887130214;0,7625788617161201;0,38800537901599086;0,6119946209840091
52874;Gloucester;89661;64577;26801;37776;0,5897101303799869;0,7202351077949164;0,41502392492683154;0,5849760750731685
25696;Winchester;89595;72764;42878;29886;0,28680171884591776;0,8121435347954685;0,5892749161673355;0,4107250838326645
22661;Gedling;88298;67577;30035;37542;0,25664227955333074;0,7653287730186414;0,44445595394882875;0,5555440460511712
46782;Slough;87873;54542;24911;29631;0,5323819603291113;0,6206912248358426;0,4567305929375527;0,5432694070624473
32336;Erewash;87596;66530;25791;40739;0,3691492762226586;0,7595095666468789;0,3876597023898993;0,6123402976101007
31674;Newark and Sherwood;87338;67087;26571;40516;0,36266001053378827;0,7681307105727175;0,3960677925678596;0,6039322074321404
27745;Sevenoaks;87253;70349;32091;38258;0,31798333581653354;0,8062645410472993;0,4561685311802584;0,5438314688197415
